city,zone,ward,ward_no,year,res_collection,res_demand,com_collection,com_demand,total_collection,total_demand,efficiency,risk_flag,gap,growth,commercial_share,risk_score
CHENNAI,Anna Nagar,0.0,N102,2016_17,2.145699703,1.8800094,2.8321284,2.2598867,4.977828103,4.1398961,1.202404114199871,0,-0.8379320030000006,-0.2722674764435731,0.5689486140136406,-0.20240411419987098
CHENNAI,Anna Nagar,0.0,N103,2016_17,3.482941596,2.9460048,6.482306996,6.9313937,9.965248592,9.8773985,1.0088940516068072,0,-0.08785009200000005,1.001927022348204,0.6504912482769301,-0.008894051606807216
CHENNAI,Anna Nagar,0.0,N104,2016_17,1.661674916,1.1888475,4.1510647,2.7037155,5.812739616,3.892563,1.4932936515093012,0,-1.920176616,-0.4166989852449433,0.7141322292458937,-0.49329365150930116
CHENNAI,Anna Nagar,0.0,N105,2016_17,1.4908336,1.2199149,1.8000407,1.610383,3.2908743,2.8302978999999997,1.1627307146714134,0,-0.46057640000000033,-0.43385141647466496,0.5469794759404818,-0.16273071467141337
CHENNAI,Anna Nagar,0.0,N106,2016_17,1.2156733,0.9981177,2.3471335,2.0410612,3.5628067999999997,3.0391789,1.172292555729444,0,-0.5236278999999997,0.08263229622596024,0.6587877568887541,-0.17229255572944385
CHENNAI,Anna Nagar,0.0,N107,2016_17,1.284762308,1.2015822,1.3617968,1.3913249,2.646559108,2.5929071,1.0206918358162542,0,-0.05365200799999981,-0.25717018728043295,0.5145537070695192,-0.02069183581625421
CHENNAI,Anna Nagar,0.0,N108,2016_17,1.527060201,1.2987446,1.326488882,1.0477437,2.853549083,2.3464883,1.2160934631551328,0,-0.507060783,0.07821097755735451,0.46485581408168125,-0.21609346315513275
CHENNAI,Anna Nagar,0.0,N094,2017_18,1.375746592,1.2848332,1.493631822,1.2087841,2.869378414,2.4936173,1.1506891670987365,0,-0.3757611139999999,0.0055472432888235,0.5205419455002563,-0.15068916709873642
CHENNAI,Anna Nagar,0.0,N095,2017_18,2.056738639,2.1237958,1.5736853,1.4340493,3.630423939,3.5578450999999998,1.0203996624248763,0,-0.07257883900000017,0.265230100458963,0.4334714971148718,-0.020399662424876307
CHENNAI,Anna Nagar,0.0,N096,2017_18,0.903475971,0.8635669,0.6217407,0.7543379,1.525216671,1.6179048,0.9427110117974802,0,0.09268812900000012,-0.5798791830851245,0.4076409023200351,0.0572889882025198
CHENNAI,Anna Nagar,0.0,N097,2017_18,0.8943361,0.8804926,0.2998767,0.3297024,1.1942127999999999,1.210195,0.9867936985361863,0,0.015982200000000057,-0.21702088450356316,0.25110826144218185,0.013206301463813736
CHENNAI,Anna Nagar,0.0,N098,2017_18,0.604851124,0.6815364,0.1731814,0.1928927,0.778032524,0.8744291000000001,0.8897605580601102,0,0.09639657600000007,-0.3484975843501258,0.2225888952683423,0.11023944193988977
CHENNAI,Anna Nagar,0.0,N099,2017_18,2.581448267,2.0824089,3.35121032,2.4163625,5.932658587,4.4987714,1.3187286171064394,0,-1.4338871869999998,6.625206407180993,0.5648749664009614,-0.31872861710643935
CHENNAI,Anna Nagar,0.0,N100,2017_18,2.655677326,2.755497,5.821142914,5.3592154,8.47682024,8.1147124,1.0446236196861396,0,-0.3621078400000002,0.42884005807698444,0.6867130302623947,-0.04462361968613954
CHENNAI,Anna Nagar,0.0,N101,2017_18,2.072674103,2.065569,4.434634658,4.3457885,6.507308761000001,6.4113575,1.014965826036062,0,-0.09595126100000062,-0.232340833383061,0.6814852069995392,-0.014965826036061888
CHENNAI,Anna Nagar,0.0,N102,2017_18,2.046952015,1.9808539,2.3270149,2.3237095,4.3739669150000005,4.3045634,1.0161232414418615,0,-0.0694035150000003,-0.32783780889354364,0.5320147466181737,-0.01612324144186151
CHENNAI,Anna Nagar,0.0,N103,2017_18,2.878384765,3.0922255,6.539808632,7.2266726,9.418193397,10.3188981,0.9127130925927062,0,0.9007047030000006,1.1532383714886874,0.6943803717264015,0.08728690740729385
CHENNAI,Anna Nagar,0.0,N104,2017_18,1.5126882,1.255918,3.33458616,2.8126124,4.84727436,4.0685304,1.1914066956461724,0,-0.7787439599999999,-0.4853286447118389,0.6879301463761173,-0.19140669564617238
CHENNAI,Anna Nagar,0.0,N105,2017_18,1.270790739,1.2809541,1.91056482,1.7020818,3.181355559,2.9830359,1.0664824915449391,0,-0.19831965900000004,-0.34368155736082573,0.6005505466357085,-0.06648249154493915
CHENNAI,Anna Nagar,0.0,N106,2017_18,1.1171371,1.0403934,3.317834673,2.3078318,4.434971773,3.3482252,1.3245739184449123,0,-1.086746573,0.39405096058928124,0.7481072806818967,-0.32457391844491235
CHENNAI,Anna Nagar,0.0,N107,2017_18,1.296462204,1.265453,1.7261509,1.4955944,3.022613104,2.7610474,1.0947342316542628,0,-0.2615657040000001,-0.31845944941485427,0.571079010315837,-0.09473423165426281
CHENNAI,Anna Nagar,0.0,N108,2017_18,1.481426881,1.370266,1.291338794,1.1072917,2.772765675,2.4775577,1.1191528152906387,0,-0.29520797499999984,-0.08265941435553303,0.46572229512326174,-0.11915281529063873
CHENNAI,Kodambakkam,0.0,N127,2013_14,1.119089373,1.2576254,1.767,2.4493677,2.886089373,3.7069931,0.7785526692779654,0,0.8209037270000001,,0.612247152333768,0.2214473307220346
CHENNAI,Kodambakkam,0.0,N128,2013_14,1.940194703,2.2553987,1.410993904,1.7555431,3.351188607,4.0109418,0.8355116514031692,0,0.6597531930000002,0.16115205521738374,0.42104282076296756,0.1644883485968308
CHENNAI,Kodambakkam,0.0,N129,2013_14,1.388292229,1.7576408,1.3207608,1.8363165,2.7090530289999997,3.5939572999999996,0.7537799708972613,0,0.8849042709999999,-0.19161427580014456,0.48753597137503657,0.24622002910273866
CHENNAI,Kodambakkam,0.0,N130,2013_14,0.900108965,1.0665,4.0183341,5.1765044,4.918443065,6.2430044,0.7878327083991803,0,1.3245613350000003,0.8155580611929028,0.8169931108067019,0.2121672916008197
CHENNAI,Kodambakkam,0.0,N131,2013_14,0.614415823,0.9275129,0.4825472,0.6514115,1.096963023,1.5789244,0.6947533542454598,0,0.48196137699999997,-0.7769694579152356,0.4398937702387804,0.3052466457545402
CHENNAI,Kodambakkam,0.0,N132,2013_14,1.256600606,1.5286008,1.087448725,1.5300026,2.344049331,3.0586034,0.7663789725075176,0,0.7145540690000001,1.1368535509879258,0.46391887347186556,0.23362102749248237
CHENNAI,Kodambakkam,0.0,N133,2013_14,1.0767944,1.2919578,0.7733066,1.0592428,1.850101,2.3512006000000003,0.786875011855645,0,0.5010996000000003,-0.2107243753224577,0.4179807480780779,0.213124988144355
CHENNAI,Kodambakkam,0.0,N134,2013_14,1.145984069,1.3847938,1.4812175,1.8298185,2.6272015690000003,3.2146122999999998,0.8172685611263295,0,0.5874107309999994,0.42003143017597444,0.5638004778460148,0.18273143887367052
CHENNAI,Kodambakkam,0.0,N135,2013_14,1.278960672,1.5342023,0.8778488,1.083172,2.156809472,2.6173743,0.8240355504369399,0,0.46056482799999987,-0.1790468240238784,0.4070126784012937,0.17596444956306015
CHENNAI,Kodambakkam,0.0,N136,2013_14,1.883777921,2.2072974,9.0264387,11.8785308,10.910216621,14.0858282,0.774552725341347,0,3.175611579,4.058498102237563,0.8273381742600691,0.225447274658653
CHENNAI,Kodambakkam,0.0,N137,2013_14,1.1065903,1.4345182,0.489266925,0.6804488,1.595857225,2.114967,0.7545541963538911,0,0.519109775,-0.8537281815350676,0.30658565022945583,0.2454458036461089
CHENNAI,Kodambakkam,0.0,N138,2013_14,0.665764807,0.796114,0.4397268,0.8173501,1.1054916069999998,1.6134640999999998,0.6851665351587308,0,0.507972493,-0.3072741159535749,0.3977658421064793,0.3148334648412692
CHENNAI,Kodambakkam,0.0,N139,2013_14,0.536320818,0.6628411,0.238541592,0.3124626,0.77486241,0.9753037,0.7944832055902177,0,0.20044129,-0.2990788848205158,0.30785025692496815,0.20551679440978232
CHENNAI,Kodambakkam,0.0,N140,2013_14,0.6840473,0.8313398,0.349075743,0.4496463,1.033123043,1.2809861,0.806506052641789,0,0.247863057,0.3332986987973774,0.33788399684353954,0.19349394735821102
CHENNAI,Kodambakkam,0.0,N141,2013_14,0.855948205,1.0452116,1.0621771,1.4320774,1.918125305,2.477289,0.7742840278223494,0,0.5591636949999998,0.8566281315632218,0.5537579308459204,0.2257159721776506
CHENNAI,Kodambakkam,0.0,N142,2013_14,0.7697926,0.942363,0.9932416,1.2350981,1.7630341999999999,2.1774611,0.8096742577858221,0,0.41442690000000004,-0.08085556485581114,0.5633705801055929,0.19032574221417783
CHENNAI,Kodambakkam,0.0,N127,2014_15,1.269777279,1.2988033,4.778906,2.4999788,6.0486832790000005,3.7987821000000004,1.5922690798716779,0,-2.249901179,2.430837177747318,0.7900737697064664,-0.5922690798716779
CHENNAI,Kodambakkam,0.0,N128,2014_15,2.141133187,2.3164105,2.1445587,1.7995449,4.2856918870000005,4.1159554,1.041238660409197,0,-0.16973648700000066,-0.2914669706910934,0.5003996452720261,-0.041238660409197006
CHENNAI,Kodambakkam,0.0,N129,2014_15,1.665846215,1.8079027,1.9100327,1.9028743,3.5758789149999997,3.710777,0.9636469437532893,0,0.13489808500000056,-0.1656238924111907,0.5341435617374645,0.03635305624671072
CHENNAI,Kodambakkam,0.0,N130,2014_15,0.958764879,1.1131135,5.6313615,5.2758461,6.590126379,6.3889596,1.0314866256158515,0,-0.20116677900000024,0.8429389069512161,0.8545149479901955,-0.03148662561585148
CHENNAI,Kodambakkam,0.0,N131,2014_15,0.772600381,0.9773826,0.5321754,0.6778355,1.304775781,1.6552181,0.7882802761762937,0,0.3504423189999999,-0.8020105069368959,0.4078673192355951,0.2117197238237063
CHENNAI,Kodambakkam,0.0,N132,2014_15,1.466610351,1.575626,1.598085496,1.5773197,3.064695847,3.1529457,0.9720103479739597,0,0.08824985300000021,1.3488295013041784,0.521449949940171,0.027989652026040333
CHENNAI,Kodambakkam,0.0,N133,2014_15,1.194514559,1.3412462,0.9438038,1.1214645,2.138318359,2.4627107,0.8682783402045559,0,0.32439234100000025,-0.30227387455326815,0.4413766528391856,0.13172165979544417
CHENNAI,Kodambakkam,0.0,N134,2014_15,1.37977741,1.4347694,1.7958455,1.8770615,3.17562291,3.3118309,0.9588722993073107,0,0.13620798999999995,0.4851029532782496,0.5655096813746063,0.04112770069268934
CHENNAI,Kodambakkam,0.0,N135,2014_15,1.562449016,1.5794081,1.1558137,1.1544631,2.718262716,2.7338712000000003,0.9942907025027367,0,0.015608484000000367,-0.14402219878178169,0.425203087691543,0.005709297497263349
CHENNAI,Kodambakkam,0.0,N136,2014_15,2.309317232,2.2573052,13.1385611,12.1813296,15.447878332,14.438634799999999,1.0698988197970074,0,-1.009243532000001,4.682996805670053,0.8505091001903937,-0.06989881979700743
CHENNAI,Kodambakkam,0.0,N137,2014_15,1.403231357,1.5004067,0.821250044,0.7372388,2.224481401,2.2376455,0.9941169863590992,0,0.013164099000000373,-0.8560008466410545,0.36918719285799056,0.00588301364090083
CHENNAI,Kodambakkam,0.0,N138,2014_15,0.750034053,0.8146559,0.7931686,0.838754,1.543202653,1.6534099,0.9333454777305978,0,0.11020724699999995,-0.3062640792113325,0.5139756586460457,0.06665452226940215
CHENNAI,Kodambakkam,0.0,N139,2014_15,0.649713527,0.6866424,0.331853408,0.3177563,0.981566935,1.0043986999999999,0.9772682252575597,0,0.022831764999999837,-0.3639416488224505,0.33808535736791095,0.022731774742440265
CHENNAI,Kodambakkam,0.0,N140,2014_15,0.847345878,0.8595748,0.4797896,0.4578878,1.327135478,1.3174626,1.0073420513037714,0,-0.00967287799999994,0.3520580519554686,0.36152269904128054,-0.007342051303771361
CHENNAI,Kodambakkam,0.0,N141,2014_15,1.104152202,1.0715446,1.3586362,1.5497444,2.462788402,2.621289,0.9395333372245488,0,0.15850059799999983,0.8557174025001841,0.55166582679075,0.06046666277545123
CHENNAI,Kodambakkam,0.0,N142,2014_15,0.920992954,0.9784991,1.5210113,1.2710838,2.442004254,2.2495829,1.0855364583363432,0,-0.19242135399999993,-0.00843927475991102,0.6228536651844834,-0.08553645833634313
CHENNAI,Kodambakkam,0.0,N127,2015_16,1.239862267,1.3559484,3.5209294,2.7042038,4.7607916669999994,4.0601522,1.172564828234764,0,-0.7006394669999993,0.9495427410504418,0.7395680479794455,-0.17256482823476404
CHENNAI,Kodambakkam,0.0,N128,2015_16,2.142673647,2.3975332,1.8927708,1.7323962,4.035444447,4.1299294,0.9771218963210363,0,0.09448495300000026,-0.15235852999572141,0.4690365150255283,0.02287810367896369
CHENNAI,Kodambakkam,0.0,N129,2015_16,1.713022841,1.9256575,1.8298128,2.4398773,3.542835641,4.3655348,0.8115467642131727,0,0.8226991589999999,-0.12207052097228388,0.5164825539249451,0.18845323578682727
CHENNAI,Kodambakkam,0.0,N130,2015_16,0.961157222,1.1667814,4.7054933,5.4715434,5.666650521999999,6.6383247999999995,0.8536265839237032,0,0.9716742780000001,0.5994675159134766,0.8303835363997766,0.14637341607629684
CHENNAI,Kodambakkam,0.0,N131,2015_16,0.874172799,1.0470741,0.5509448,0.7005854,1.425117599,1.7476595,0.8154435111645032,0,0.3225419009999999,-0.7485079424843344,0.38659602575015284,0.1845564888354968
CHENNAI,Kodambakkam,0.0,N132,2015_16,1.469793158,1.6219566,1.4252085,1.6167315,2.895001658,3.2386881,0.8938809692727125,0,0.3436864420000001,1.031412467315969,0.49229971805425476,0.10611903072728743
CHENNAI,Kodambakkam,0.0,N133,2015_16,1.287700022,1.4040632,1.0683438,1.1054313,2.356043822,2.5094944999999997,0.9388519568383196,0,0.15345067799999956,-0.18616840322376071,0.4534481871789225,0.06114804316168042
CHENNAI,Kodambakkam,0.0,N134,2015_16,1.351518726,1.4806503,1.7187101,1.9830468,3.070228826,3.4636971,0.8864022278391491,0,0.39346827399999995,0.30312891353342564,0.5597986982094735,0.11359777216085087
CHENNAI,Kodambakkam,0.0,N135,2015_16,1.443160017,1.6284875,0.9951398,1.1761177,2.438299817,2.8046052,0.8693914626557776,0,0.36630538300000026,-0.20582472669416607,0.4081285628050392,0.1306085373442224
CHENNAI,Kodambakkam,0.0,N136,2015_16,2.155416171,2.2922061,12.48052161,12.228684,14.635937781,14.520890099999999,1.0079229083208887,0,-0.11504768100000184,5.002517688332338,0.8527312562234238,-0.007922908320888758
CHENNAI,Kodambakkam,0.0,N137,2015_16,1.377232295,1.5901644,0.8126691,0.8357324,2.189901395,2.4258968,0.9027182833993599,0,0.23599540499999971,-0.8503750543512918,0.3710984895737737,0.09728171660064011
CHENNAI,Kodambakkam,0.0,N138,2015_16,0.773735015,0.8453483,0.6547335,0.8440324,1.428468515,1.6893807,0.8455574963061908,0,0.260912185,-0.3477019018931672,0.4583464690504571,0.15444250369380919
CHENNAI,Kodambakkam,0.0,N139,2015_16,0.557523885,0.72371,0.3282555,0.3407365,0.885779385,1.0644464999999999,0.8321502160982258,0,0.17866711499999988,-0.3799097595091202,0.37058381077586267,0.16784978390177419
CHENNAI,Kodambakkam,0.0,N140,2015_16,0.799164155,0.893432,0.4538046,0.5214152,1.252968755,1.4148472,0.8855859169809996,0,0.16187844500000015,0.4145381753268056,0.3621834927559706,0.11441408301900033
CHENNAI,Kodambakkam,0.0,N141,2015_16,0.832268,1.1075676,1.9424727,1.8169818,2.7747406999999997,2.9245494,0.9487754592211708,0,0.14980870000000035,1.2145330351833072,0.7000555763643068,0.05122454077882918
CHENNAI,Kodambakkam,0.0,N142,2015_16,0.9513689,1.0435346,1.364199843,1.3234984,2.315568743,2.367033,0.9782579047271415,0,0.051464257000000124,-0.16548283484651372,0.5891424502615166,0.021742095272858523
CHENNAI,Kodambakkam,0.0,N127,2016_17,1.403887904,1.4196939,7.1379929,2.8652875,8.541880804,4.2849813999999995,1.993446413559695,0,-4.256899404,2.688891046669306,0.8356465120254798,-0.993446413559695
CHENNAI,Kodambakkam,0.0,N128,2016_17,2.486406772,2.4685482,2.197384672,1.9076213,4.683791444000001,4.3761695,1.070294796396712,0,-0.307621944000001,-0.45166743115794006,0.46914656603997157,-0.070294796396712
CHENNAI,Kodambakkam,0.0,N129,2016_17,2.040713707,2.0547045,2.486274364,2.5437109,4.526988071,4.5984154,0.9844669689911006,0,0.07142732900000048,-0.0334778725472219,0.5492116005180434,0.015533031008899372
CHENNAI,Kodambakkam,0.0,N130,2016_17,1.178406605,1.202983,7.079174889,5.5068734,8.257581494,6.7098564,1.2306644139209895,0,-1.5477250940000005,0.8240784743609721,0.8572939781634324,-0.2306644139209895
CHENNAI,Kodambakkam,0.0,N131,2016_17,1.034835,1.0955967,0.667595148,0.7287864,1.702430148,1.8243831,0.9331538688337992,0,0.121952952,-0.7938342904351602,0.39214246104856926,0.06684613116620078
CHENNAI,Kodambakkam,0.0,N132,2016_17,1.653032982,1.6965282,1.628297,1.7093893,3.281329982,3.4059175,0.9634202772087109,0,0.12458751800000023,0.9274388355110357,0.496230799380786,0.03657972279128906
CHENNAI,Kodambakkam,0.0,N133,2016_17,1.361987402,1.4558978,1.066069936,1.2538956,2.4280573380000003,2.7097934,0.8960304272643074,0,0.2817360619999998,-0.2600386577030337,0.43906291639641665,0.10396957273569263
CHENNAI,Kodambakkam,0.0,N134,2016_17,1.392437661,1.5171644,1.767202,2.0665901,3.159639661,3.5837545,0.881656280026994,0,0.424114839,0.30130356130823777,0.5593049175236315,0.11834371997300597
CHENNAI,Kodambakkam,0.0,N135,2016_17,1.590725691,1.6632922,1.256150008,1.2571808,2.846875699,2.9204730000000003,0.9747995269944285,0,0.07359730100000039,-0.09898722498660273,0.4412380942523196,0.02520047300557149
CHENNAI,Kodambakkam,0.0,N136,2016_17,2.406764198,2.3433059,13.39533236,12.7948999,15.802096557999999,15.138205800000001,1.0438553132895048,0,-0.6638907579999973,4.550680194274263,0.847693362132916,-0.04385531328950473
CHENNAI,Kodambakkam,0.0,N137,2016_17,1.65874362,1.6929296,0.8546767,0.8544439,2.51342032,2.5473735,0.9866712988888359,0,0.03395318000000014,-0.840943870278558,0.34004527344634505,0.013328701111164146
